"256","ESTRUCTURA DE LA INFORMACION: ORGAN. DE FICHEROS","Mu?oz L?pez",,"1"
"257","SISTEMAS DIGITALES - PRINCIPIOS Y APLICACIONES","Ronald Tocci",,"5"
"258","CIRCUITOS ELECTRICOS                                                                                ","Edminister                                                                                          ","                                                                                                    ","2"
"259","CIRCUITOS ELECTRICOS                                                                                ","Joseph Edminister                                                                                   ","                                                                                                    ","2"
"260","ANALISIS VECTORIAL                                                                                  ","Murray Spiegel                                                                                      ","                                                                                                    ","1"
"261","TRANSFORMADAS DE LAPLACE                                                                            ","Murray Spiegel                                                                                      ","                                                                                                    ","1"
"262","ANALISIS DE CIRCUITOS EN INGENIERIA","Hayt","Kemmerly","1"
"263","ANALISIS DE CIRCUITOS EN INGENIERIA                                                                 ","Hayt                                                                                                ","Kemmerly                                                                                            ","1"
"264","ANALISIS INTRODUCTORIO DE CIRCUITOS                                                                 ","Robert Boylestad                                                                                    ","                                                                                                    ","2"
"265","INVESTIGACION DE OPERACIONES: INTERPRETACION DE MO                                                  ","NAGHI, MOHAMMAD                                                                                     ","                                                                                                    ","1"
"266","COMO PROGRAMAR EN JAVA","Harvey M. Dietel","Paul J. Deitel","1"
"267","SISTEMA INFORM?TICO GANADERO (SIG)","Ismenia Mar?a P?rez G?mez",,
"268","SOCIOLOGIA","Fichter",,"1"
"269","TEORIA DE CONJUNTOS Y TEMAS AFINES","Lipschutz",,"1"
"270","ANALISIS MODERNO DE SISTEMAS ELECTRICOS DE POTENCI","Enriquez Harper, Gilberto",,"2"
"271","PROBABILIDAD Y APLICACIONES ESTADISTICAS","Meyer",,"1"
"272","BASIC ESTRUCTURADO","Chris Siragusa",,"1"
"273","Introduccion al algebra lineal","Howard Anton",,"1"
"274","ECONOMIA POLITICA","Bautista","Paoli","1"
"275","PRINCIPIOS DE ELECTRONICA","Albert Paul Malvino",,"5"
"276","PRINCIPIOS DE ELECTRONICA                                                                           ","Albert Paul Malvino                                                                                 ","                                                                                                    ","5"
"277","MECANICA DE LOS FLUIDOS","V. Streeter","B. Wylie","8"
"278","ELECTRONICA DIGITAL","Cuesta, Gil Padilla","Remiro","1"
"279","TEORIA DE LA PROBABILIDAD","Ivan Obregon Sanin",,"1"
"280","CURSO DE SERVICIOS HOTELEROS - TECNICAS Y ORGANIZA                                                  ","Cerra, Javier                                                                                       ","                                                                                                    ","1"
"281","ELEMENTOS DE RESISTENCIA DE MATERIALES                                                              ","Timosheko                                                                                           ","Young                                                                                               ","1"
"282","RESISTENCIA DE MATERIALES","Luis Ort?z Berrocal",,"1"
"283","OPERACIONES DE TRANSFERENCIA DE MASA 2/e","Robert E. Treybal",,"2"
"284","GEOMETRIA ANALITICA: PLANA Y DEL ESPACIO","KINDLE, JOSEPH H.",,"1"
"285","Introduccion al algebra lineal","Howard Anton",,"1"
"286","SISTEMA INFORM?TICO GANADERO (SIG)","Ismenia Mar?a P?rez G?mez",,
"287","ECONOMIA","LARROULET","MOCHON","1"
"288","FUNDAMENTOS DE INSTALACIONES ELECTRICAS DE MEDIANA","HARPER, GILBERTO ENRIQUEZ",,"1"
"289","Fisica Universitaria","Sears","Zemansky","1"
"290","FUNDAMENTOS DE LOS MICROPROCESADORES","TOKHEIM",,"1"
"291","ALGEBRA ELEMENTAL MODERNA VOL. II","GONZALEZ, M.O.","MANCILL, J.D.","1"
"292","FUNDAMENTOS DA TERMODINAMICA CLASSICA                                                               ","Van Wylen, Gordon                                                                                   ","Borgnakke, Claus                                                                                    ","1"
